batter,matches_played,runs,balls,dismissals,fours,sixes,strike_rate,average
A Ashish Reddy,23,280,196,15,16,15,142.85714285714286,18.666666666666668
A Badoni,56,1178,885,46,96,47,133.10734463276836,25.608695652173914
A Chandila,2,4,7,1,0,0,57.14285714285714,4.0
A Chopra,6,53,75,5,7,0,70.66666666666667,10.6
A Choudhary,3,25,20,2,1,1,125.0,12.5
A Dananjaya,1,4,5,0,0,0,80.0,inf
A Flintoff,3,62,57,2,5,2,108.77192982456141,31.0
A Kamboj,10,74,55,3,5,4,134.54545454545453,24.666666666666668
A Kumble,15,35,49,2,3,0,71.42857142857143,17.5
A Manohar,20,292,243,19,23,14,120.16460905349795,15.368421052631579
A Mhatre,13,441,250,12,51,23,176.4,36.75
A Mishra,55,381,440,31,31,5,86.5909090909091,12.290322580645162
A Mithun,6,34,26,5,4,1,130.76923076923077,6.8
A Mukund,2,19,23,2,1,0,82.6086956521739,9.5
A Nehra,17,41,63,8,3,1,65.07936507936508,5.125
A Nortje,14,49,52,6,6,0,94.23076923076923,8.166666666666666
A Raghuvanshi,30,885,628,25,86,35,140.9235668789809,35.4
A Singh,5,2,10,4,0,0,20.0,0.5
A Symonds,36,974,781,26,74,41,124.71190781049937,37.46153846153846
A Tomar,1,4,8,1,1,0,50.0,4.0
A Uniyal,2,4,7,1,0,0,57.14285714285714,4.0
A Zampa,5,15,25,5,1,0,60.0,3.0
AA Bilakhia,7,69,88,5,5,0,78.4090909090909,13.8
AA Chavan,3,12,11,1,2,0,109.09090909090908,12.0
AA Jhunjhunwala,15,217,218,14,19,5,99.54128440366972,15.5
AA Kulkarni,4,26,33,4,3,0,78.78787878787878,6.5
AA Noffke,1,9,12,1,1,0,75.0,9.0
AB Agarkar,18,179,160,8,13,5,111.87499999999999,22.375
AB Barath,3,42,43,2,5,1,97.67441860465115,21.0
AB Dinda,16,26,50,9,2,0,52.0,2.888888888888889
AB McDonald,9,123,103,5,9,4,119.41747572815532,24.6
AB de Villiers,170,5181,3487,125,414,253,148.58044164037855,41.448
AC Blizzard,7,120,91,7,21,2,131.86813186813185,17.142857142857142
AC Gilchrist,80,2069,1555,76,239,92,133.05466237942122,27.223684210526315
AC Thomas,4,20,19,2,1,1,105.26315789473684,10.0
AC Voges,7,181,143,6,15,3,126.57342657342659,30.166666666666668
AD Hales,6,148,119,6,13,6,124.36974789915966,24.666666666666668
AD Mascarenhas,11,79,79,10,5,1,100.0,7.9
AD Mathews,41,724,599,31,44,29,120.86811352253757,23.35483870967742
AD Nath,10,90,99,10,7,2,90.9090909090909,9.0
AD Russell,114,2655,1626,92,187,223,163.28413284132841,28.858695652173914
AF Milne,7,25,33,5,0,1,75.75757575757575,5.0
AG Murtaza,3,10,14,1,1,0,71.42857142857143,10.0
AG Paunikar,5,49,61,5,9,0,80.32786885245902,9.8
AJ Finch,90,2092,1696,84,214,78,123.34905660377358,24.904761904761905
AJ Hosein,3,21,14,0,1,1,150.0,inf
AJ Turner,6,24,31,5,0,2,77.41935483870968,4.8
AJ Tye,13,91,79,8,6,5,115.18987341772151,11.375
AK Markram,66,1671,1264,55,131,68,132.1993670886076,30.381818181818183
AL Menaria,23,401,367,22,24,18,109.26430517711172,18.227272727272727
AM Ghazanfar,1,2,3,0,0,0,66.66666666666666,inf
AM Nayar,50,672,588,39,55,20,114.28571428571428,17.23076923076923
AM Rahane,197,5367,4391,179,540,141,122.22728307902528,29.98324022346369
AN Ahmed,6,36,27,1,4,1,133.33333333333331,36.0
AN Ghosh,2,7,8,2,1,0,87.5,3.5
AP Dole,2,34,23,2,3,1,147.82608695652172,17.0
AP Majumdar,4,87,77,4,7,2,112.98701298701299,21.75
AP Tare,27,339,285,24,40,11,118.94736842105263,14.125
AR Bawne,1,12,12,0,1,0,100.0,inf
AR Patel,134,2089,1635,99,146,100,127.76758409785933,21.1010101010101
AS Joseph,5,27,32,1,3,0,84.375,27.0
AS Rajpoot,7,26,41,4,2,1,63.41463414634146,6.5
AS Raut,16,194,172,11,13,7,112.79069767441861,17.636363636363637
AS Roy,14,78,66,9,6,2,118.18181818181819,8.666666666666666
AS Yadav,6,49,40,7,5,2,122.50000000000001,7.0
AT Carey,3,32,29,2,0,1,110.34482758620689,16.0
AT Rayudu,185,4348,3490,152,359,173,124.58452722063038,28.605263157894736
AU Rashid,2,22,17,2,2,1,129.41176470588235,11.0
AUK Pathan,7,39,26,5,5,2,150.0,7.8
Abdul Basith,1,1,1,0,0,0,100.0,inf
Abdul Samad,58,859,598,47,55,55,143.6454849498328,18.27659574468085
Abdur Razzak,1,0,2,0,0,0,0.0,
Abhishek Sharma,89,2379,1471,82,224,144,161.72671651937458,29.01219512195122
Abishek Porel,33,769,548,33,80,28,140.32846715328466,23.303030303030305
Akash Deep,5,25,14,3,2,2,178.57142857142858,8.333333333333334
Akash Madhwal,2,8,14,0,0,0,57.14285714285714,inf
Akshat Raghuwanshi,2,29,27,3,1,1,107.40740740740742,9.666666666666666
Aman Hakim Khan,10,115,109,9,8,6,105.50458715596329,12.777777777777779
Aniket Verma,20,315,205,15,18,25,153.65853658536585,21.0
Anirudh Singh,4,63,69,4,6,1,91.30434782608695,15.75
