season,bowler,matches,runs_concided,balls,wickets,overs,economy
2008,A Kumble,10,314,236,8,39.333333333333336,7.983050847457626
2008,A Mishra,6,140,123,11,20.5,6.829268292682927
2008,A Nehra,14,357,280,14,46.666666666666664,7.65
2008,A Nel,1,31,18,1,3.0,10.333333333333334
2008,A Symonds,3,106,44,0,7.333333333333333,14.454545454545455
2008,AA Noffke,1,41,25,1,4.166666666666667,9.84
2008,AB Agarkar,9,211,168,8,28.0,7.535714285714286
2008,AB Dinda,12,266,245,11,40.833333333333336,6.514285714285714
2008,AD Mascarenhas,1,31,25,2,4.166666666666667,7.4399999999999995
2008,AM Nayar,5,69,43,1,7.166666666666667,9.627906976744185
2008,Abdur Razzak,1,29,14,0,2.3333333333333335,12.428571428571427
2008,B Akhil,6,138,105,3,17.5,7.885714285714286
2008,B Geeves,2,91,49,2,8.166666666666666,11.142857142857144
2008,B Lee,4,118,99,5,16.5,7.151515151515151
2008,BAW Mendis,1,24,24,1,4.0,6.0
2008,CK Kapugedera,3,49,17,0,2.8333333333333335,17.294117647058822
2008,CL White,1,24,7,0,1.1666666666666667,20.57142857142857
2008,CRD Fernando,5,164,128,12,21.333333333333332,7.6875
2008,D Kalyankrishna,3,88,50,2,8.333333333333334,10.559999999999999
2008,D Salunkhe,5,80,51,1,8.5,9.411764705882353
2008,DB Ravi Teja,1,19,12,1,2.0,9.5
2008,DJ Bravo,9,239,181,11,30.166666666666668,7.922651933701657
2008,DJ Hussey,5,134,79,3,13.166666666666666,10.177215189873419
2008,DJ Thornely,4,40,44,3,7.333333333333333,5.454545454545455
2008,DL Vettori,2,54,48,2,8.0,6.75
2008,DNT Zoysa,3,100,69,2,11.5,8.695652173913043
2008,DP Vijaykumar,9,205,159,4,26.5,7.735849056603773
2008,DR Smith,4,83,69,5,11.5,7.217391304347826
2008,DS Kulkarni,10,242,193,13,32.166666666666664,7.523316062176167
2008,DW Steyn,10,265,247,13,41.166666666666664,6.437246963562753
2008,GD McGrath,14,366,329,14,54.833333333333336,6.674772036474164
2008,Gagandeep Singh,4,142,84,3,14.0,10.142857142857142
2008,Harbhajan Singh,3,84,62,6,10.333333333333334,8.129032258064516
2008,I Sharma,13,348,266,7,44.333333333333336,7.849624060150376
2008,IK Pathan,14,361,336,20,56.0,6.446428571428571
2008,Iqbal Abdulla,1,22,18,1,3.0,7.333333333333333
2008,JA Morkel,13,414,310,20,51.666666666666664,8.012903225806452
2008,JDP Oram,4,149,100,6,16.666666666666668,8.94
2008,JH Kallis,11,322,211,4,35.166666666666664,9.156398104265403
2008,JR Hopes,11,285,171,7,28.5,10.0
2008,Joginder Sharma,7,241,158,9,26.333333333333332,9.151898734177216
2008,K Goel,1,25,12,0,2.0,12.5
2008,L Balaji,9,293,205,11,34.166666666666664,8.575609756097561
2008,LPC Silva,1,21,6,0,1.0,21.0
2008,LR Shukla,9,126,78,6,13.0,9.692307692307692
2008,M Kartik,5,132,89,5,14.833333333333334,8.898876404494382
2008,M Muralitharan,15,416,369,11,61.5,6.764227642276423
2008,M Ntini,9,257,213,8,35.5,7.23943661971831
2008,MA Khote,2,52,30,2,5.0,10.4
2008,MF Maharoof,10,255,226,19,37.666666666666664,6.769911504424779
2008,MM Patel,15,423,336,16,56.0,7.553571428571429
2008,MS Gony,16,456,371,18,61.833333333333336,7.37466307277628
2008,Mohammad Asif,8,307,199,9,33.166666666666664,9.256281407035177
2008,Mohammad Hafeez,4,71,63,2,10.5,6.761904761904762
2008,P Amarnath,6,241,132,7,22.0,10.954545454545455
2008,P Kumar,13,376,275,12,45.833333333333336,8.203636363636363
2008,PJ Sangwan,7,221,155,7,25.833333333333332,8.55483870967742
2008,PM Sarvesh Kumar,2,42,31,1,5.166666666666667,8.129032258064516
2008,PP Chawla,15,396,286,19,47.666666666666664,8.307692307692308
2008,PP Ojha,12,299,236,11,39.333333333333336,7.601694915254237
2008,Pankaj Singh,5,129,76,0,12.666666666666666,10.18421052631579
2008,R Bhatia,9,185,134,9,22.333333333333332,8.283582089552239
2008,R Vinay Kumar,8,183,141,7,23.5,7.787234042553192
2008,RA Jadeja,2,21,13,1,2.1666666666666665,9.692307692307693
2008,RG Sharma,1,26,25,1,4.166666666666667,6.239999999999999
2008,RP Singh,14,459,325,17,54.166666666666664,8.473846153846154
2008,RR Powar,5,93,77,3,12.833333333333334,7.246753246753246
2008,RR Raje,6,142,102,6,17.0,8.352941176470589
2008,S Sreesanth,15,451,332,19,55.333333333333336,8.150602409638553
2008,S Vidyut,1,22,13,1,2.1666666666666665,10.153846153846155
2008,SB Bangar,9,221,153,6,25.5,8.666666666666666
2008,SB Joshi,4,82,55,1,9.166666666666666,8.945454545454545
2008,SB Styris,8,201,167,4,27.833333333333332,7.221556886227545
2008,SC Ganguly,7,132,121,7,20.166666666666668,6.545454545454545
2008,SD Chitnis,2,62,38,2,6.333333333333333,9.789473684210527
2008,SK Raina,2,30,20,2,3.3333333333333335,9.0
2008,SK Trivedi,15,407,300,15,50.0,8.14
2008,SK Warne,15,409,319,20,53.166666666666664,7.692789968652038
2008,SM Pollock,13,307,280,13,46.666666666666664,6.578571428571429
2008,SR Watson,15,395,344,20,57.333333333333336,6.88953488372093
2008,ST Jayasuriya,8,163,127,5,21.166666666666668,7.700787401574803
2008,Shahid Afridi,10,237,185,9,30.833333333333332,7.686486486486487
2008,Shoaib Akhtar,3,54,46,5,7.666666666666667,7.0434782608695645
2008,Shoaib Malik,5,87,58,2,9.666666666666666,9.0
2008,Sohail Tanvir,11,275,265,24,44.166666666666664,6.226415094339623
2008,TM Dilshan,1,3,6,1,1.0,3.0
2008,Umar Gul,6,198,153,14,25.5,7.764705882352941
2008,V Kohli,4,62,49,2,8.166666666666666,7.591836734693878
2008,V Sehwag,7,134,67,3,11.166666666666666,12.0
2008,VRV Singh,13,425,296,15,49.333333333333336,8.614864864864865
2008,VS Yeligati,2,61,32,0,5.333333333333333,11.4375
2008,VY Mahesh,11,380,266,17,44.333333333333336,8.571428571428571
2008,WA Mota,2,36,20,1,3.3333333333333335,10.799999999999999
2008,WPUJC Vaas,5,146,103,6,17.166666666666668,8.504854368932039
2008,Y Venugopal Rao,7,137,88,3,14.666666666666666,9.340909090909092
2008,YK Pathan,13,233,170,10,28.333333333333332,8.223529411764707
2008,Yuvraj Singh,6,85,56,3,9.333333333333334,9.107142857142856
2008,Z Khan,11,369,258,15,43.0,8.581395348837209
2009,A Flintoff,3,106,66,2,11.0,9.636363636363637
2009,A Kumble,16,353,358,22,59.666666666666664,5.916201117318436
2009,A Mishra,11,300,262,14,43.666666666666664,6.870229007633588
2009,A Mithun,1,42,27,0,4.5,9.333333333333334
2009,A Nehra,13,354,326,22,54.333333333333336,6.515337423312883
2009,A Singh,5,100,107,9,17.833333333333332,5.607476635514019
2009,A Symonds,8,162,147,9,24.5,6.612244897959184
2009,AB Agarkar,11,293,199,8,33.166666666666664,8.834170854271358
2009,AB Dinda,8,195,150,6,25.0,7.8
2009,AB McDonald,1,22,18,0,3.0,7.333333333333333
2009,AD Mascarenhas,5,133,116,6,19.333333333333332,6.879310344827586
2009,AD Mathews,1,32,15,0,2.5,12.8
2009,AM Nayar,4,84,77,4,12.833333333333334,6.545454545454545
2009,AM Rahane,1,5,6,1,1.0,5.0
2009,AM Salvi,5,138,106,4,17.666666666666668,7.811320754716981
2009,AS Raut,4,37,24,0,4.0,9.25
2009,Anureet Singh,2,47,34,2,5.666666666666667,8.294117647058822
2009,B Akhil,5,80,69,4,11.5,6.956521739130435
2009,B Lee,5,113,133,6,22.166666666666668,5.097744360902255
2009,BAW Mendis,4,136,102,4,17.0,8.0
2009,BJ Hodge,9,167,123,7,20.5,8.146341463414634
2009,C Nanda,3,58,50,2,8.333333333333334,6.959999999999999
2009,CH Gayle,7,146,119,1,19.833333333333332,7.3613445378151265
2009,CK Langeveldt,1,15,25,3,4.166666666666667,3.5999999999999996
2009,D du Preez,2,56,43,4,7.166666666666667,7.813953488372093
2009,DJ Bravo,11,265,211,14,35.166666666666664,7.535545023696683
2009,DJ Hussey,3,34,25,1,4.166666666666667,8.16
2009,DL Vettori,7,186,141,10,23.5,7.914893617021277
2009,DP Nannes,13,384,320,20,53.333333333333336,7.199999999999999
2009,DR Smith,8,128,85,1,14.166666666666666,9.035294117647059
2009,DS Kulkarni,8,209,160,5,26.666666666666668,7.8374999999999995
2009,DW Steyn,3,62,59,3,9.833333333333334,6.305084745762711
2009,FH Edwards,6,160,150,6,25.0,6.4
2009,GR Napier,1,28,24,1,4.0,7.0
2009,Harbhajan Singh,13,272,268,13,44.666666666666664,6.089552238805971
2009,Harmeet Singh,7,198,142,4,23.666666666666668,8.366197183098592
2009,I Sharma,11,303,270,11,45.0,6.733333333333333
2009,IK Pathan,14,398,314,20,52.333333333333336,7.6050955414012735
2009,J Botha,3,76,75,5,12.5,6.08
2009,JA Morkel,12,330,249,15,41.5,7.951807228915663
2009,JD Ryder,5,121,104,5,17.333333333333332,6.980769230769231
2009,JDP Oram,7,139,94,6,15.666666666666666,8.872340425531915
2009,JH Kallis,14,362,289,7,48.166666666666664,7.515570934256056
2009,JP Duminy,6,96,107,4,17.833333333333332,5.3831775700934585
2009,Jaskaran Singh,1,32,19,0,3.1666666666666665,10.105263157894738
2009,Joginder Sharma,4,57,43,2,7.166666666666667,7.953488372093023
2009,K Goel,4,62,49,0,8.166666666666666,7.591836734693878
2009,KP Appanna,5,91,72,2,12.0,7.583333333333333
2009,KP Pietersen,4,88,80,5,13.333333333333334,6.6
2009,Kamran Khan,5,148,121,10,20.166666666666668,7.338842975206611
2009,L Balaji,13,320,229,14,38.166666666666664,8.384279475982533
2009,LA Carseldine,1,6,7,1,1.1666666666666667,5.142857142857142
2009,LR Shukla,5,102,88,5,14.666666666666666,6.954545454545455
2009,LRPL Taylor,1,13,7,0,1.1666666666666667,11.142857142857142
2009,M Kartik,10,207,210,5,35.0,5.914285714285715
2009,M Morkel,2,40,44,1,7.333333333333333,5.454545454545455
2009,M Muralitharan,13,267,304,16,50.666666666666664,5.269736842105264
2009,MC Henriques,4,107,76,2,12.666666666666666,8.447368421052632
2009,MF Maharoof,3,67,66,4,11.0,6.090909090909091
2009,MK Tiwary,1,11,6,0,1.0,11.0
2009,MM Patel,11,245,218,18,36.333333333333336,6.743119266055046
2009,MS Gony,7,173,107,5,17.833333333333332,9.700934579439252
