bowler,matches_played,wickets,runs_conceded,balls,overs,economy
A Ashish Reddy,20,19,400,270,45.0,8.88888888888889
A Badoni,8,4,64,41,6.833333333333333,9.365853658536587
A Chandila,12,11,245,234,39.0,6.282051282051282
A Choudhary,5,5,144,108,18.0,8.0
A Dananjaya,1,0,47,25,4.166666666666667,11.28
A Flintoff,3,2,106,66,11.0,9.636363636363637
A Kamboj,25,34,823,513,85.5,9.625730994152047
A Kumble,42,49,1089,983,163.83333333333334,6.646998982706002
A Mishra,162,183,4193,3444,574.0,7.304878048780488
A Mithun,16,8,477,312,52.0,9.173076923076923
A Nehra,88,121,2537,1974,329.0,7.711246200607903
A Nel,1,1,31,18,3.0,10.333333333333334
A Nortje,49,63,1740,1169,194.83333333333334,8.93071000855432
A Singh,23,31,639,486,81.0,7.888888888888889
A Symonds,30,23,694,540,90.0,7.711111111111111
A Uniyal,2,3,67,38,6.333333333333333,10.578947368421053
A Zampa,22,32,656,475,79.16666666666667,8.286315789473683
AA Chavan,13,8,339,255,42.5,7.976470588235294
AA Jhunjhunwala,10,1,130,88,14.666666666666666,8.863636363636363
AA Kazi,1,1,21,13,2.1666666666666665,9.692307692307693
AA Noffke,1,1,41,25,4.166666666666667,9.84
AB Agarkar,42,33,1174,820,136.66666666666666,8.590243902439026
AB Dinda,75,82,2103,1589,264.8333333333333,7.940843297671492
AB McDonald,10,14,263,188,31.333333333333332,8.393617021276595
AC Gilchrist,1,1,0,1,0.16666666666666666,0.0
AC Thomas,15,16,416,327,54.5,7.63302752293578
AC Voges,7,1,76,56,9.333333333333334,8.142857142857142
AD Mascarenhas,13,19,365,310,51.666666666666664,7.064516129032258
AD Mathews,44,28,1095,807,134.5,8.141263940520446
AD Russell,121,133,2909,1885,314.1666666666667,9.25941644562334
AF Milne,11,9,381,238,39.666666666666664,9.605042016806724
AG Murtaza,12,12,322,269,44.833333333333336,7.182156133828996
AJ Finch,5,1,67,44,7.333333333333333,9.136363636363637
AJ Hosein,8,10,239,175,29.166666666666668,8.194285714285714
AJ Tye,30,48,1005,714,119.0,8.445378151260504
AK Markram,24,6,358,230,38.333333333333336,9.339130434782609
AL Menaria,12,3,144,113,18.833333333333332,7.646017699115045
AM Ghazanfar,11,15,390,237,39.5,9.873417721518987
AM Nayar,19,9,323,239,39.833333333333336,8.10878661087866
AM Rahane,1,1,5,6,1.0,5.0
AM Salvi,7,7,205,156,26.0,7.884615384615385
AN Ahmed,17,15,515,362,60.333333333333336,8.535911602209945
AP Dole,3,5,114,73,12.166666666666666,9.36986301369863
AR Patel,173,148,4503,3639,606.5,7.424567188788129
AS Joseph,22,22,707,454,75.66666666666667,9.343612334801762
AS Rajpoot,29,24,844,567,94.5,8.931216931216932
AS Raut,5,0,45,30,5.0,9.0
AS Roy,22,17,482,351,58.5,8.239316239316238
AU Rashid,3,2,91,60,10.0,9.1
AUK Pathan,3,0,63,41,6.833333333333333,9.219512195121952
Abdul Samad,7,2,125,58,9.666666666666666,12.931034482758621
Abdur Razzak,1,0,29,14,2.3333333333333335,12.428571428571427
Abhinandan Singh,3,3,122,60,10.0,12.2
Abhishek Sharma,36,11,558,374,62.333333333333336,8.95187165775401
Akash Deep,14,11,554,302,50.333333333333336,11.006622516556291
