batter,phase,runs,balls,strike_rate
A Ashish Reddy,Death,192,129,148.8372093023256
A Ashish Reddy,Middle,83,60,138.33333333333334
A Ashish Reddy,Powerplay,5,7,71.42857142857143
A Badoni,Death,446,277,161.01083032490976
A Badoni,Middle,581,480,121.04166666666667
A Badoni,Powerplay,151,128,117.96875
A Chandila,Death,4,7,57.14285714285714
A Chopra,Middle,24,30,80.0
A Chopra,Powerplay,29,45,64.44444444444444
A Choudhary,Death,24,19,126.3157894736842
A Choudhary,Middle,1,1,100.0
A Dananjaya,Death,4,5,80.0
A Flintoff,Death,22,14,157.14285714285714
A Flintoff,Middle,25,27,92.5925925925926
A Flintoff,Powerplay,15,16,93.75
A Kamboj,Death,51,40,127.49999999999999
A Kamboj,Middle,23,15,153.33333333333334
A Kumble,Death,29,41,70.73170731707317
A Kumble,Middle,6,8,75.0
A Manohar,Death,116,68,170.58823529411765
A Manohar,Middle,158,148,106.75675675675676
A Manohar,Powerplay,18,27,66.66666666666666
A Mhatre,Death,4,5,80.0
A Mhatre,Middle,130,74,175.67567567567568
A Mhatre,Powerplay,307,171,179.53216374269005
A Mishra,Death,237,221,107.23981900452489
A Mishra,Middle,134,205,65.3658536585366
A Mishra,Powerplay,10,14,71.42857142857143
A Mithun,Death,13,11,118.18181818181819
A Mithun,Middle,21,15,140.0
A Mukund,Death,0,1,0.0
A Mukund,Middle,1,3,33.33333333333333
A Mukund,Powerplay,18,19,94.73684210526315
A Nehra,Death,36,60,60.0
A Nehra,Middle,5,3,166.66666666666669
A Nortje,Death,46,45,102.22222222222221
A Nortje,Middle,3,7,42.857142857142854
A Raghuvanshi,Death,118,69,171.0144927536232
A Raghuvanshi,Middle,434,314,138.21656050955414
A Raghuvanshi,Powerplay,333,245,135.9183673469388
A Singh,Death,2,8,25.0
A Singh,Middle,0,2,0.0
A Symonds,Death,239,154,155.19480519480518
A Symonds,Middle,598,491,121.79226069246437
A Symonds,Powerplay,137,136,100.73529411764706
A Tomar,Powerplay,4,8,50.0
A Uniyal,Death,4,7,57.14285714285714
A Zampa,Death,5,6,83.33333333333334
A Zampa,Middle,10,19,52.63157894736842
