bowler,phase,wickets,runs_conceded,balls,overs,economy
A Ashish Reddy,Death,8,123,75,12.5,9.84
A Ashish Reddy,Middle,11,247,183,30.5,8.098360655737705
A Ashish Reddy,Powerplay,0,30,12,2.0,15.0
A Badoni,Death,2,13,10,1.6666666666666667,7.8
A Badoni,Middle,2,18,18,3.0,6.0
A Badoni,Powerplay,0,33,13,2.1666666666666665,15.230769230769232
A Chandila,Death,0,6,6,1.0,6.0
A Chandila,Middle,1,71,54,9.0,7.888888888888889
A Chandila,Powerplay,10,168,174,29.0,5.793103448275862
A Choudhary,Death,1,40,27,4.5,8.88888888888889
A Choudhary,Middle,0,56,32,5.333333333333333,10.5
A Choudhary,Powerplay,4,48,49,8.166666666666666,5.877551020408164
A Dananjaya,Middle,0,35,19,3.1666666666666665,11.052631578947368
A Dananjaya,Powerplay,0,12,6,1.0,12.0
A Flintoff,Death,1,52,18,3.0,17.333333333333332
A Flintoff,Middle,0,31,30,5.0,6.2
A Flintoff,Powerplay,1,23,18,3.0,7.666666666666667
A Kamboj,Death,17,228,133,22.166666666666668,10.285714285714285
A Kamboj,Middle,3,108,60,10.0,10.8
A Kamboj,Powerplay,14,487,320,53.333333333333336,9.13125
A Kumble,Death,15,148,112,18.666666666666668,7.928571428571428
A Kumble,Middle,29,751,659,109.83333333333333,6.83763277693475
A Kumble,Powerplay,5,190,212,35.333333333333336,5.377358490566038
A Mishra,Death,30,471,300,50.0,9.42
A Mishra,Middle,130,3185,2668,444.6666666666667,7.162668665667166
A Mishra,Powerplay,23,537,476,79.33333333333333,6.768907563025211
A Mithun,Death,5,155,85,14.166666666666666,10.941176470588236
A Mithun,Middle,2,177,124,20.666666666666668,8.564516129032258
A Mithun,Powerplay,1,145,103,17.166666666666668,8.446601941747572
A Nehra,Death,54,633,434,72.33333333333333,8.751152073732719
A Nehra,Middle,22,510,397,66.16666666666667,7.707808564231738
A Nehra,Powerplay,45,1394,1143,190.5,7.31758530183727
A Nel,Death,0,8,6,1.0,8.0
A Nel,Powerplay,1,23,12,2.0,11.5
A Nortje,Death,23,614,365,60.833333333333336,10.093150684931507
A Nortje,Middle,18,488,345,57.5,8.486956521739131
A Nortje,Powerplay,22,638,459,76.5,8.339869281045752
A Singh,Death,17,256,149,24.833333333333332,10.308724832214766
A Singh,Middle,1,75,61,10.166666666666666,7.3770491803278695
A Singh,Powerplay,13,308,276,46.0,6.695652173913044
A Symonds,Death,6,104,55,9.166666666666666,11.345454545454546
A Symonds,Middle,11,429,324,54.0,7.944444444444445
A Symonds,Powerplay,6,161,161,26.833333333333332,6.0
A Uniyal,Death,2,27,19,3.1666666666666665,8.526315789473685
A Uniyal,Powerplay,1,40,19,3.1666666666666665,12.631578947368421
A Zampa,Death,7,138,61,10.166666666666666,13.573770491803279
A Zampa,Middle,22,399,322,53.666666666666664,7.434782608695652
A Zampa,Powerplay,3,119,92,15.333333333333334,7.760869565217391
AA Chavan,Death,1,22,8,1.3333333333333333,16.5
AA Chavan,Middle,4,110,72,12.0,9.166666666666666
AA Chavan,Powerplay,3,207,175,29.166666666666668,7.097142857142857
AA Jhunjhunwala,Death,0,2,1,0.16666666666666666,12.0
AA Jhunjhunwala,Middle,1,79,49,8.166666666666666,9.673469387755103
AA Jhunjhunwala,Powerplay,0,49,38,6.333333333333333,7.736842105263158
AA Kazi,Middle,1,21,13,2.1666666666666665,9.692307692307693
AA Noffke,Death,1,7,6,1.0,7.0
AA Noffke,Middle,0,4,6,1.0,4.0
AA Noffke,Powerplay,0,30,13,2.1666666666666665,13.846153846153847
AB Agarkar,Death,9,266,167,27.833333333333332,9.556886227544911
