batter,fifties,hundreds,ducks,player_of_match_awards
A Badoni,7.0,0.0,5.0,0.0
A Chandila,0.0,0.0,1.0,1.0
A Kamboj,0.0,0.0,1.0,0.0
A Kumble,0.0,0.0,1.0,3.0
A Manohar,0.0,0.0,2.0,1.0
A Mhatre,3.0,0.0,2.0,0.0
A Mishra,0.0,0.0,8.0,12.0
A Mithun,0.0,0.0,1.0,0.0
A Mukund,0.0,0.0,1.0,0.0
A Nehra,0.0,0.0,7.0,6.0
A Nortje,0.0,0.0,4.0,3.0
A Raghuvanshi,7.0,0.0,0.0,0.0
A Singh,0.0,0.0,3.0,1.0
A Symonds,5.0,1.0,0.0,3.0
A Uniyal,0.0,0.0,1.0,0.0
A Zampa,0.0,0.0,1.0,1.0
AA Jhunjhunwala,1.0,0.0,1.0,1.0
AA Kulkarni,0.0,0.0,2.0,0.0
AB Dinda,0.0,0.0,6.0,2.0
AB McDonald,0.0,0.0,1.0,0.0
AB de Villiers,41.0,3.0,10.0,25.0
AC Blizzard,1.0,0.0,1.0,0.0
AC Gilchrist,11.0,2.0,7.0,7.0
AC Thomas,0.0,0.0,1.0,0.0
AC Voges,0.0,0.0,0.0,1.0
AD Mascarenhas,0.0,0.0,2.0,1.0
AD Mathews,1.0,0.0,2.0,1.0
AD Nath,0.0,0.0,1.0,0.0
AD Russell,12.0,0.0,6.0,16.0
AF Milne,0.0,0.0,2.0,0.0
AG Paunikar,0.0,0.0,1.0,0.0
AJ Finch,15.0,0.0,7.0,5.0
AJ Turner,0.0,0.0,3.0,0.0
AJ Tye,0.0,0.0,3.0,2.0
AK Markram,10.0,0.0,3.0,1.0
AL Menaria,0.0,0.0,1.0,0.0
AM Nayar,0.0,0.0,4.0,0.0
AM Rahane,35.0,2.0,15.0,13.0
AN Ghosh,0.0,0.0,1.0,0.0
AP Tare,1.0,0.0,5.0,1.0
AR Patel,4.0,0.0,9.0,8.0
AS Joseph,0.0,0.0,1.0,1.0
AS Rajpoot,0.0,0.0,0.0,2.0
AS Raut,0.0,0.0,1.0,0.0
AS Roy,0.0,0.0,5.0,0.0
AS Yadav,0.0,0.0,1.0,0.0
AT Rayudu,22.0,1.0,13.0,10.0
AUK Pathan,0.0,0.0,2.0,0.0
Abdul Samad,0.0,0.0,4.0,0.0
Abdur Razzak,0.0,0.0,1.0,0.0
Abhishek Sharma,13.0,2.0,6.0,7.0
Abishek Porel,4.0,0.0,2.0,0.0
Akash Deep,0.0,0.0,2.0,0.0
Akash Madhwal,0.0,0.0,0.0,2.0
Aman Hakim Khan,1.0,0.0,1.0,0.0
Aniket Verma,1.0,0.0,0.0,0.0
Anirudh Singh,0.0,0.0,1.0,0.0
Ankit Sharma,0.0,0.0,1.0,0.0
Ankit Soni,0.0,0.0,2.0,0.0
Anmolpreet Singh,0.0,0.0,1.0,0.0
Anuj Rawat,1.0,0.0,4.0,1.0
Anureet Singh,0.0,0.0,4.0,0.0
Arshad Khan,1.0,0.0,1.0,0.0
Arshdeep Singh,0.0,0.0,4.0,2.0
Ashok Sharma,0.0,0.0,1.0,0.0
Ashutosh Sharma,2.0,0.0,0.0,1.0
Ashwani Kumar,0.0,0.0,0.0,1.0
Atharva Taide,2.0,0.0,1.0,0.0
Avesh Khan,0.0,0.0,3.0,3.0
Azhar Mahmood,2.0,0.0,2.0,2.0
B Akhil,0.0,0.0,2.0,0.0
B Chipli,1.0,0.0,0.0,0.0
B Indrajith,0.0,0.0,1.0,0.0
B Kumar,0.0,0.0,10.0,7.0
B Laughlin,0.0,0.0,2.0,0.0
B Lee,0.0,0.0,2.0,2.0
B Sai Sudharsan,20.0,3.0,1.0,4.0
B Stanlake,0.0,0.0,0.0,1.0
BA Bhatt,0.0,0.0,1.0,1.0
BA Stokes,2.0,2.0,3.0,5.0
BAW Mendis,0.0,0.0,1.0,0.0
BB McCullum,13.0,2.0,6.0,5.0
BB Samantray,1.0,0.0,1.0,0.0
BB Sran,0.0,0.0,1.0,0.0
BCJ Cutting,0.0,0.0,1.0,1.0
BE Hendricks,0.0,0.0,1.0,0.0
BJ Hodge,6.0,0.0,4.0,6.0
BJ Rohrer,1.0,0.0,0.0,0.0
BMAJ Mendis,0.0,0.0,1.0,0.0
BW Hilfenhaus,0.0,0.0,0.0,2.0
Basil Thampi,0.0,0.0,1.0,0.0
C Connolly,2.0,1.0,1.0,1.0
C Green,4.0,1.0,1.0,3.0
C Munro,0.0,0.0,1.0,0.0
C Nanda,0.0,0.0,1.0,0.0
C Sakariya,0.0,0.0,2.0,0.0
C de Grandhomme,0.0,0.0,3.0,0.0
CA Lynn,10.0,0.0,3.0,4.0
CA Pujara,1.0,0.0,1.0,0.0
CH Gayle,32.0,6.0,8.0,22.0
CH Morris,2.0,0.0,10.0,3.0
CJ Anderson,3.0,0.0,2.0,3.0
CJ Jordan,0.0,0.0,1.0,1.0
CK Kapugedera,0.0,0.0,1.0,0.0
CK Langeveldt,0.0,0.0,1.0,0.0
CL White,6.0,0.0,4.0,1.0
CR Brathwaite,0.0,0.0,0.0,1.0
CR Woakes,0.0,0.0,1.0,0.0
CRD Fernando,0.0,0.0,0.0,1.0
CV Varun,0.0,0.0,3.0,8.0
D Brevis,2.0,0.0,3.0,1.0
D Ferreira,2.0,0.0,1.0,1.0
D Padikkal,14.0,1.0,6.0,2.0
D Pretorius,0.0,0.0,1.0,0.0
DA Miller,14.0,1.0,4.0,5.0
