season,batter,matches,runs,balls,dismissals,fifties,hundreds,fours,sixes,strike_rate,average
2008,A Chopra,5,42,55,4,0,0,5,0,76.36363636363637,10.5
2008,A Kumble,4,13,17,1,0,0,1,0,76.47058823529412,13.0
2008,A Mishra,3,37,42,4,0,0,3,0,88.09523809523809,9.25
2008,A Mukund,1,0,1,1,0,0,0,0,0.0,0.0
2008,A Nehra,3,3,13,0,0,0,0,0,23.076923076923077,inf
2008,A Symonds,3,161,111,2,0,0,15,9,145.04504504504504,80.5
2008,AA Noffke,1,9,12,1,0,0,1,0,75.0,9.0
2008,AB Agarkar,6,54,49,4,0,0,5,2,110.20408163265304,13.5
2008,AB Dinda,2,2,4,1,0,0,0,0,50.0,2.0
2008,AB de Villiers,6,95,100,4,0,0,5,1,95.0,23.75
2008,AC Gilchrist,14,436,328,13,0,0,51,19,132.9268292682927,33.53846153846154
2008,AD Mascarenhas,1,9,8,1,0,0,0,1,112.5,9.0
2008,AM Nayar,10,206,142,8,0,0,16,9,145.07042253521126,25.75
2008,AM Rahane,2,4,19,2,0,0,1,0,21.052631578947366,2.0
2008,AS Yadav,6,49,40,7,0,0,5,2,122.50000000000001,7.0
2008,Abdur Razzak,1,0,2,0,0,0,0,0,0.0,
2008,B Akhil,7,46,32,3,0,0,4,3,143.75,15.333333333333334
2008,B Chipli,3,20,30,3,0,0,3,0,66.66666666666666,6.666666666666667
2008,B Lee,3,17,14,2,0,0,2,1,121.42857142857142,8.5
2008,BB McCullum,4,188,96,3,0,0,13,15,195.83333333333331,62.666666666666664
2008,BJ Hodge,3,12,18,2,0,0,2,0,66.66666666666666,6.0
2008,CK Kapugedera,3,16,24,3,0,0,0,0,66.66666666666666,5.333333333333333
2008,CL White,8,114,105,5,0,0,8,4,108.57142857142857,22.8
2008,CRD Fernando,1,2,1,1,0,0,0,0,200.0,2.0
2008,D Kalyankrishna,1,3,8,1,0,0,0,0,37.5,3.0
2008,D Salunkhe,3,33,24,1,0,0,5,0,137.5,33.0
2008,DB Das,6,103,95,6,0,0,9,5,108.42105263157895,17.166666666666668
2008,DB Ravi Teja,6,109,85,6,0,0,10,5,128.23529411764707,18.166666666666668
2008,DJ Bravo,7,178,137,6,0,0,19,5,129.92700729927006,29.666666666666668
2008,DJ Hussey,13,319,267,11,0,0,19,17,119.47565543071161,29.0
2008,DJ Thornely,4,39,54,3,0,0,2,2,72.22222222222221,13.0
2008,DNT Zoysa,2,11,9,1,0,0,1,0,122.22222222222223,11.0
2008,DP Vijaykumar,1,1,1,0,0,0,0,0,100.0,inf
2008,DPMD Jayawardene,12,179,138,9,0,0,15,7,129.71014492753622,19.88888888888889
2008,DR Smith,3,45,41,2,0,0,5,1,109.75609756097562,22.5
2008,DS Kulkarni,1,2,17,0,0,0,0,0,11.76470588235294,inf
2008,DS Lehmann,2,18,19,2,0,0,3,0,94.73684210526315,9.0
2008,DT Patil,2,13,13,1,0,0,1,0,100.0,13.0
2008,DW Steyn,2,2,5,2,0,0,0,0,40.0,1.0
2008,G Gambhir,14,534,394,14,0,0,68,8,135.53299492385787,38.142857142857146
2008,GC Smith,11,441,375,12,0,0,54,8,117.6,36.75
2008,GD McGrath,2,4,5,1,0,0,1,0,80.0,4.0
2008,H Das,1,2,5,1,0,0,0,0,40.0,2.0
2008,HH Gibbs,9,167,159,9,0,0,17,8,105.0314465408805,18.555555555555557
2008,Harbhajan Singh,3,30,17,2,0,0,1,3,176.47058823529412,15.0
2008,I Sharma,5,11,11,1,0,0,1,0,100.0,11.0
2008,IK Pathan,10,131,120,5,0,0,9,6,109.16666666666666,26.2
2008,Iqbal Abdulla,1,1,2,0,0,0,0,0,50.0,inf
2008,J Arunkumar,3,23,24,3,0,0,5,0,95.83333333333334,7.666666666666667
2008,JA Morkel,10,241,168,8,0,0,18,14,143.45238095238096,30.125
2008,JDP Oram,2,18,13,1,0,0,1,1,138.46153846153845,18.0
2008,JH Kallis,11,199,188,11,0,0,23,4,105.85106382978724,18.09090909090909
2008,JR Hopes,11,221,152,11,0,0,27,8,145.39473684210526,20.09090909090909
2008,Joginder Sharma,2,16,11,2,0,0,1,1,145.45454545454547,8.0
2008,K Goel,6,76,79,5,0,0,7,4,96.20253164556962,15.2
2008,KC Sangakkara,9,320,207,10,0,0,41,8,154.58937198067633,32.0
2008,KD Karthik,8,145,108,7,0,0,13,4,134.25925925925927,20.714285714285715
2008,Kamran Akmal,6,128,78,4,0,0,13,8,164.1025641025641,32.0
2008,L Balaji,1,0,5,1,0,0,0,0,0.0,0.0
2008,L Ronchi,4,34,34,2,0,0,6,1,100.0,17.0
2008,LA Pomersbach,5,152,101,1,0,0,13,9,150.4950495049505,152.0
2008,LPC Silva,3,40,27,2,0,0,5,1,148.14814814814815,20.0
2008,LR Shukla,12,163,127,8,0,0,17,5,128.3464566929134,20.375
2008,LRPL Taylor,4,149,85,4,0,0,13,10,175.2941176470588,37.25
2008,M Kaif,14,176,176,9,0,0,14,6,100.0,19.555555555555557
2008,M Kartik,3,30,28,3,0,0,3,0,107.14285714285714,10.0
2008,M Muralitharan,1,0,3,1,0,0,0,0,0.0,0.0
