player_name,player_id,alias_name
A Ashish Reddy,1,A Ashish Reddy
A Badoni,2,A Badoni
A Badoni,2,Ayush Badoni
A Badoni,2,Badoni
A Chandila,3,A Chandila
A Chopra,4,A Chopra
A Choudhary,5,A Choudhary
A Dananjaya,6,A Dananjaya
A Dananjaya,6,Dananjaya
A Flintoff,7,A Flintoff
A Flintoff,7,Flintoff
A Kamboj,8,Anshul Kamboj
A Kumble,9,Anil Kumble
A Manohar,10,Abhinav Manohar
A Mhatre,11,Ayush Mhatre
A Mishra,12,Amit Mishra
A Mithun,13,A Mithun
A Mukund,14,A Mukund
A Nehra,15,A Nehra
A Nehra,15,Ashish Nehra
A Nehra,15,Nehra
A Nel,16,A Nel
A Nortje,17,Anrich Nortje
A Raghuvanshi,18,Angkrish Raghuvanshi
A Raghuvanshi,18,Raghuvanshi
A Singh,19,Anmolpreet Singh
A Symonds,20,Andrew Symonds
A Symonds,20,Symonds
A Tomar,21,A Tomar
A Uniyal,22,A Uniyal
A Zampa,23,A Zampa
A Zampa,23,Zampa
AA Bilakhia,24,AA Bilakhia
AA Chavan,25,AA Chavan
AA Jhunjhunwala,26,AA Jhunjhunwala
AA Kazi,27,AA Kazi
AA Kulkarni,28,Arshin Kulkarni
AA Noffke,29,AA Noffke
AB Agarkar,30,AB Agarkar
AB Barath,31,AB Barath
AB Dinda,32,Ashok Dinda
AB McDonald,33,AB McDonald
AB de Villiers,34,AB de Villiers
AB de Villiers,34,ABD
AB de Villiers,34,mr 360
AC Blizzard,35,AC Blizzard
AC Gilchrist,36,Adam Gilchrist
AC Gilchrist,36,Gilchrist
AC Thomas,37,AC Thomas
AC Voges,38,AC Voges
AD Hales,39,AD Hales
AD Mascarenhas,40,AD Mascarenhas
AD Mathews,41,Angelo Mathews
AD Nath,42,AD Nath
AD Russell,43,Andre Russell
AD Russell,43,Russell
AF Milne,44,Adam Milne
AG Murtaza,45,AG Murtaza
AG Paunikar,46,AG Paunikar
AJ Finch,47,Aaron Finch
AJ Finch,47,Finch
AJ Hosein,48,Akeal Hosein
AJ Turner,49,AJ Turner
AJ Tye,50,Andrew Tye
AK Markram,51,Aiden Markram
AL Menaria,52,AL Menaria
AM Ghazanfar,53,AM Ghazanfar
AM Ghazanfar,53,Ghazanfar
AM Nayar,54,AM Nayar
AM Rahane,55,Ajinkya Rahane
AM Rahane,55,Rahane
AM Salvi,56,AM Salvi
AN Ahmed,57,Shahbaz Ahmed
AN Ghosh,58,AN Ghosh
AP Dole,59,AP Dole
AP Majumdar,60,AP Majumdar
AP Majumdar,60,Majumdar
AP Tare,61,AP Tare
AR Bawne,62,AR Bawne
AR Patel,63,Axar Patel
AS Joseph,64,Alzarri Joseph
AS Rajpoot,65,AS Rajpoot
AS Raut,66,AS Raut
AS Roy,67,Anukul Roy
AS Yadav,68,AS Yadav
AT Carey,69,AT Carey
AT Rayudu,70,Ambati Rayudu
AT Rayudu,70,Rayudu
AU Rashid,71,AU Rashid
AUK Pathan,72,AUK Pathan
AV Wankhade,73,AV Wankhade
Abdul Basith,74,Abdul Basith
Abdul Samad,75,Abdul Samad
Abdur Razzak,76,Abdur Razzak
Abhinandan Singh,77,Anmolpreet Singh
Abhishek Sharma,78,Abhishek Sharma
Abishek Porel,79,Abishek Porel
Akash Deep,80,Akash Deep
Akash Madhwal,81,Akash Madhwal
Akash Singh,82,Anmolpreet Singh
Akshat Raghuwanshi,83,Akshat Raghuwanshi
Aman Hakim Khan,84,Avesh Khan
Anand Rajan,85,T Natarajan
Aniket Verma,86,Aniket Verma
Anirudh Singh,87,Anmolpreet Singh
Ankit Sharma,88,Abhishek Sharma
Ankit Soni,89,Ankit Soni
Anmolpreet Singh,90,Anmolpreet Singh
Anuj Rawat,91,Anuj Rawat
Anureet Singh,92,Anmolpreet Singh
