match_id,batting_team,total_runs,wickets
335982,Kolkata Knight Riders,222,3
335982,Royal Challengers Bangalore,82,10
335983,Chennai Super Kings,240,5
335983,Kings XI Punjab,207,4
335984,Delhi Daredevils,132,1
335984,Rajasthan Royals,129,8
335985,Mumbai Indians,165,7
335985,Royal Challengers Bangalore,166,5
335986,Deccan Chargers,110,10
335986,Kolkata Knight Riders,112,5
335987,Kings XI Punjab,166,8
335987,Rajasthan Royals,168,4
335988,Deccan Chargers,142,8
335988,Delhi Daredevils,143,1
335989,Chennai Super Kings,208,5
335989,Mumbai Indians,202,7
335990,Deccan Chargers,214,5
335990,Rajasthan Royals,217,7
335991,Kings XI Punjab,182,10
335991,Mumbai Indians,116,9
335992,Rajasthan Royals,138,3
335992,Royal Challengers Bangalore,135,8
335993,Chennai Super Kings,152,1
335993,Kolkata Knight Riders,147,9
335994,Deccan Chargers,155,0
335994,Mumbai Indians,154,7
335995,Delhi Daredevils,158,8
335995,Kings XI Punjab,162,6
335996,Chennai Super Kings,178,5
335996,Royal Challengers Bangalore,165,10
335997,Kolkata Knight Riders,137,8
335997,Mumbai Indians,138,3
335998,Delhi Daredevils,191,5
335998,Royal Challengers Bangalore,181,5
335999,Deccan Chargers,164,8
335999,Kings XI Punjab,167,3
336000,Kolkata Knight Riders,151,10
336000,Rajasthan Royals,196,7
336001,Chennai Super Kings,169,6
336001,Delhi Daredevils,172,2
336002,Deccan Chargers,165,10
336002,Royal Challengers Bangalore,171,5
336003,Kings XI Punjab,178,6
336003,Kolkata Knight Riders,169,6
336004,Delhi Daredevils,133,10
336004,Mumbai Indians,162,8
336005,Chennai Super Kings,109,10
336005,Rajasthan Royals,110,2
336006,Kings XI Punjab,127,4
336006,Royal Challengers Bangalore,126,10
336007,Chennai Super Kings,144,7
336007,Deccan Chargers,148,3
336008,Mumbai Indians,104,3
336008,Rajasthan Royals,103,10
336009,Chennai Super Kings,188,6
336009,Delhi Daredevils,187,5
336010,Kolkata Knight Riders,129,7
336010,Royal Challengers Bangalore,124,4
336011,Deccan Chargers,140,8
336011,Rajasthan Royals,141,2
336012,Mumbai Indians,126,1
336012,Royal Challengers Bangalore,122,9
336013,Chennai Super Kings,181,4
336013,Kings XI Punjab,163,9
336014,Deccan Chargers,181,7
336014,Kolkata Knight Riders,204,4
336015,Delhi Daredevils,156,7
336015,Rajasthan Royals,159,7
336016,Kings XI Punjab,144,1
336016,Royal Challengers Bangalore,143,8
336017,Delhi Daredevils,110,10
336017,Kolkata Knight Riders,133,6
336018,Chennai Super Kings,156,6
336018,Mumbai Indians,158,1
336019,Kings XI Punjab,221,3
336019,Rajasthan Royals,180,7
336020,Deccan Chargers,182,9
336020,Delhi Daredevils,194,4
336021,Kolkata Knight Riders,67,10
336021,Mumbai Indians,68,2
336022,Delhi Daredevils,118,4
336022,Kings XI Punjab,94,3
336023,Rajasthan Royals,197,1
336023,Royal Challengers Bangalore,132,9
336024,Deccan Chargers,153,7
336024,Mumbai Indians,178,7
336025,Chennai Super Kings,55,0
336025,Kolkata Knight Riders,149,5
336026,Delhi Daredevils,158,5
336026,Royal Challengers Bangalore,154,7
336027,Kolkata Knight Riders,147,8
336027,Rajasthan Royals,150,4
336028,Kings XI Punjab,189,4
336028,Mumbai Indians,188,10
336029,Chennai Super Kings,112,8
336029,Royal Challengers Bangalore,126,8
336031,Deccan Chargers,175,4
336031,Kings XI Punjab,178,4
336032,Delhi Daredevils,179,5
336032,Mumbai Indians,176,8
336033,Chennai Super Kings,201,7
336033,Rajasthan Royals,211,5
336034,Deccan Chargers,153,6
336034,Royal Challengers Bangalore,156,8
336035,Kings XI Punjab,174,6
336035,Kolkata Knight Riders,175,7
336036,Mumbai Indians,145,7
336036,Rajasthan Royals,146,5
336037,Chennai Super Kings,148,3
336037,Deccan Chargers,147,8
336038,Delhi Daredevils,87,10
336038,Rajasthan Royals,192,9
336039,Chennai Super Kings,116,1
336039,Kings XI Punjab,112,8
336040,Chennai Super Kings,163,5
336040,Rajasthan Royals,164,7
392181,Chennai Super Kings,146,7
392181,Mumbai Indians,165,7
392182,Rajasthan Royals,58,10
392182,Royal Challengers Bangalore,133,8
392183,Delhi Daredevils,58,0
392183,Kings XI Punjab,104,7
392184,Deccan Chargers,104,2
392184,Kolkata Knight Riders,101,10
392185,Chennai Super Kings,179,5
392185,Royal Challengers Bangalore,87,10
392186,Kings XI Punjab,158,6
392186,Kolkata Knight Riders,79,1
392188,Deccan Chargers,184,6
392188,Royal Challengers Bangalore,160,8
392189,Chennai Super Kings,180,9
392189,Delhi Daredevils,189,5
392190,Kolkata Knight Riders,165,9
392190,Rajasthan Royals,168,6
392191,Kings XI Punjab,173,3
392191,Royal Challengers Bangalore,168,9
392192,Deccan Chargers,168,9
392192,Mumbai Indians,156,7
392194,Delhi Daredevils,150,4
392194,Royal Challengers Bangalore,149,7
392195,Kings XI Punjab,139,6
392195,Rajasthan Royals,112,7
392196,Chennai Super Kings,165,6
392196,Deccan Chargers,169,4
392197,Kolkata Knight Riders,95,9
392197,Mumbai Indians,187,6
392198,Delhi Daredevils,143,7
392198,Rajasthan Royals,147,5
392199,Kolkata Knight Riders,139,6
392199,Royal Challengers Bangalore,143,5
392200,Kings XI Punjab,119,8
392200,Mumbai Indians,116,7
