season,batting_team,matches_played,total_runs,wickets
2008,Chennai Super Kings,16,2520,79
2008,Deccan Chargers,14,2229,93
2008,Delhi Daredevils,14,2118,77
2008,Kings XI Punjab,15,2464,79
2008,Kolkata Knight Riders,13,1942,88
2008,Mumbai Indians,14,2080,80
2008,Rajasthan Royals,16,2601,88
2008,Royal Challengers Bangalore,14,1983,106
2009,Chennai Super Kings,14,2231,81
2009,Deccan Chargers,16,2408,101
2009,Delhi Daredevils,15,2131,75
2009,Kings XI Punjab,14,1928,87
2009,Kolkata Knight Riders,13,1772,73
2009,Mumbai Indians,13,1897,82
2009,Rajasthan Royals,13,1706,93
2009,Royal Challengers Bangalore,16,2280,106
2010,Chennai Super Kings,16,2604,89
2010,Deccan Chargers,16,2374,114
2010,Delhi Daredevils,14,2155,88
2010,Kings XI Punjab,14,2288,81
2010,Kolkata Knight Riders,14,2144,71
2010,Mumbai Indians,16,2738,102
2010,Rajasthan Royals,14,2179,94
2010,Royal Challengers Bangalore,16,2401,86
2011,Chennai Super Kings,16,2560,74
2011,Deccan Chargers,14,2140,87
2011,Delhi Daredevils,14,2087,95
2011,Kings XI Punjab,14,2224,88
2011,Kochi Tuskers Kerala,14,1901,86
2011,Kolkata Knight Riders,15,2023,71
2011,Mumbai Indians,16,2288,82
2011,Pune Warriors,13,1775,83
2011,Rajasthan Royals,13,1687,68
2011,Royal Challengers Bangalore,16,2469,79
2012,Chennai Super Kings,18,2831,101
2012,Deccan Chargers,15,2312,89
2012,Delhi Daredevils,18,2645,94
2012,Kings XI Punjab,16,2390,102
2012,Kolkata Knight Riders,17,2504,94
2012,Mumbai Indians,17,2462,107
2012,Pune Warriors,16,2321,104
2012,Rajasthan Royals,16,2516,84
2012,Royal Challengers Bangalore,15,2472,83
2013,Chennai Super Kings,18,2778,90
2013,Delhi Daredevils,16,2245,112
2013,Kings XI Punjab,16,2428,104
2013,Kolkata Knight Riders,16,2290,102
2013,Mumbai Indians,19,2975,114
2013,Pune Warriors,16,2262,111
2013,Rajasthan Royals,18,2705,94
2013,Royal Challengers Bangalore,16,2601,78
2013,Sunrisers Hyderabad,17,2318,107
2014,Chennai Super Kings,16,2650,70
2014,Delhi Daredevils,14,2081,86
2014,Kings XI Punjab,17,2987,95
2014,Kolkata Knight Riders,16,2499,89
2014,Mumbai Indians,15,2353,90
2014,Rajasthan Royals,14,2166,88
2014,Royal Challengers Bangalore,14,2093,82
2014,Sunrisers Hyderabad,14,2102,74
2015,Chennai Super Kings,17,2725,104
2015,Delhi Daredevils,14,2168,76
2015,Kings XI Punjab,14,2018,105
2015,Kolkata Knight Riders,13,2044,78
2015,Mumbai Indians,16,2734,87
2015,Rajasthan Royals,13,2143,81
2015,Royal Challengers Bangalore,16,2311,79
2015,Sunrisers Hyderabad,14,2210,81
2016,Delhi Daredevils,14,2104,77
2016,Gujarat Lions,16,2450,102
2016,Kings XI Punjab,14,2134,91
