venue,matches,avg_score_1st,avg_score_2nd,highest_total,lowest_total,win_batting_first,win_chasing
Arun Jaitley Stadium,14.0,168.28571428571428,155.0,219.0,7.0,7.0,6.0
"Arun Jaitley Stadium, Delhi",30.0,193.63333333333333,180.7,278.0,11.0,13.0,16.0
Barabati Stadium,7.0,167.71428571428572,157.71428571428572,231.0,126.0,4.0,3.0
"Barsapara Cricket Stadium, Guwahati",8.0,168.875,157.625,202.0,123.0,4.0,4.0
"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",29.0,174.79310344827587,166.46428571428572,235.0,1.0,11.0,16.0
Brabourne Stadium,10.0,180.4,167.7,212.0,115.0,6.0,4.0
"Brabourne Stadium, Mumbai",17.0,177.41176470588235,165.1764705882353,217.0,68.0,8.0,9.0
Buffalo Park,3.0,147.33333333333334,119.0,178.0,100.0,2.0,1.0
De Beers Diamond Oval,3.0,158.0,141.0,169.0,113.0,1.0,2.0
Dr DY Patil Sports Academy,17.0,146.64705882352942,136.2941176470588,190.0,82.0,7.0,10.0
"Dr DY Patil Sports Academy, Mumbai",20.0,170.7,157.95,216.0,113.0,10.0,10.0
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,13.0,157.46153846153845,130.69230769230768,206.0,76.0,6.0,7.0
"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",4.0,208.75,178.5,272.0,163.0,2.0,2.0
Dubai International Cricket Stadium,46.0,163.7608695652174,149.08695652173913,219.0,2.0,21.0,22.0
Eden Gardens,77.0,160.1818181818182,147.06493506493507,232.0,49.0,30.0,47.0
"Eden Gardens, Kolkata",30.0,190.33333333333334,174.93103448275863,262.0,7.0,15.0,13.0
Feroz Shah Kotla,60.0,161.63333333333333,147.84745762711864,231.0,44.0,27.0,32.0
Green Park,4.0,161.25,163.25,197.0,124.0,0.0,4.0
Himachal Pradesh Cricket Association Stadium,9.0,175.66666666666666,146.22222222222223,232.0,116.0,5.0,4.0
"Himachal Pradesh Cricket Association Stadium, Dharamsala",10.0,205.2,187.55555555555554,254.0,122.0,6.0,3.0
Holkar Cricket Stadium,9.0,160.33333333333334,158.77777777777777,245.0,88.0,1.0,8.0
JSCA International Stadium Complex,7.0,149.0,144.71428571428572,189.0,114.0,2.0,5.0
Kingsmead,15.0,152.0,138.2,211.0,79.0,8.0,7.0
M Chinnaswamy Stadium,65.0,168.06153846153848,145.515625,263.0,2.0,26.0,36.0
"M Chinnaswamy Stadium, Bengaluru",24.0,190.375,181.70833333333334,287.0,95.0,11.0,13.0
M.Chinnaswamy Stadium,15.0,173.93333333333334,167.86666666666667,218.0,41.0,7.0,7.0
MA Chidambaram Stadium,9.0,150.55555555555554,134.22222222222223,205.0,70.0,4.0,5.0
"MA Chidambaram Stadium, Chepauk",48.0,166.02083333333334,151.85416666666666,246.0,9.0,30.0,17.0
"MA Chidambaram Stadium, Chepauk, Chennai",41.0,168.3170731707317,156.8780487804878,217.0,7.0,17.0,23.0
"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",10.0,163.0,155.4,219.0,95.0,5.0,5.0
"Maharaja Yadavindra Singh International Cricket Stadium, New Chandigarh",7.0,220.28571428571428,205.57142857142858,254.0,162.0,3.0,4.0
Maharashtra Cricket Association Stadium,22.0,166.4090909090909,152.0909090909091,211.0,73.0,8.0,14.0
"Maharashtra Cricket Association Stadium, Pune",13.0,171.46153846153845,144.53846153846155,210.0,82.0,10.0,3.0
"Narendra Modi Stadium, Ahmedabad",41.0,185.8048780487805,166.09756097560975,243.0,86.0,20.0,21.0
Nehru Stadium,5.0,146.8,125.8,162.0,74.0,3.0,2.0
New Wanderers Stadium,8.0,144.0,142.5,166.0,123.0,3.0,5.0
Newlands,7.0,139.42857142857142,112.57142857142857,184.0,15.0,4.0,2.0
OUTsurance Oval,2.0,135.0,129.5,150.0,120.0,1.0,1.0
Punjab Cricket Association IS Bindra Stadium,10.0,175.6,172.0,197.0,150.0,4.0,6.0
"Punjab Cricket Association IS Bindra Stadium, Mohali",11.0,164.0909090909091,158.1818181818182,207.0,67.0,5.0,6.0
"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",5.0,197.8,173.4,257.0,146.0,3.0,2.0
"Punjab Cricket Association Stadium, Mohali",35.0,163.28571428571428,150.62857142857143,240.0,84.0,15.0,20.0
Rajiv Gandhi International Stadium,15.0,162.6,146.13333333333333,231.0,96.0,8.0,7.0
"Rajiv Gandhi International Stadium, Uppal",49.0,156.14285714285714,146.9795918367347,223.0,15.0,19.0,29.0
