players
Virat Kohli
Rohit Sharma
Shikhar Dhawan
David Warner
KL Rahul
Shubman Gill
Suresh Raina
Ajinkya Rahane
Faf du Plessis
AB de Villiers
Chris Gayle
Gautam Gambhir
Robin Uthappa
Sanju Samson
Ruturaj Gaikwad
Yashasvi Jaiswal
Ishan Kishan
Devdutt Padikkal
Prithvi Shaw
Sai Sudharsan
Tilak Varma
Rahul Tripathi
Nitish Rana
Manish Pandey
Ambati Rayudu
Murali Vijay
Mayank Agarwal
Cheteshwar Pujara
Dinesh Karthik
Wriddhiman Saha
Jonny Bairstow
Jos Buttler
Quinton de Kock
Devon Conway
Matthew Hayden
Michael Hussey
Shane Watson
Brendon McCullum
Kane Williamson
Steve Smith
David Miller
Aiden Markram
Nicholas Pooran
Shimron Hetmyer
Rinku Singh
Rahmanullah Gurbaz
Phil Salt
Harry Brook
Travis Head
Heinrich Klaasen
Glenn Phillips
Ben Stokes
Moeen Ali
Marcus Stoinis
Liam Livingstone
Tim David
Suryakumar Yadav
Kieron Pollard
Andre Russell
Hardik Pandya
Krunal Pandya
Yusuf Pathan
Irfan Pathan
Ravindra Jadeja
Axar Patel
Washington Sundar
Deepak Hooda
Abhishek Sharma
Shahbaz Ahmed
Rahul Tewatia
Venkatesh Iyer
Shivam Dube
Riyan Parag
Sarfaraz Khan
Shreyas Iyer
Angkrish Raghuvanshi
Nehal Wadhera
Anmolpreet Singh
Priyam Garg
Karun Nair
Paul Valthaty
Shaun Marsh
Adam Gilchrist
Parthiv Patel
Mandeep Singh
Naman Ojha
Lendl Simmons
Hashim Amla
Martin Guptill
Ross Taylor
Mahela Jayawardene
Kumar Sangakkara
Tillakaratne Dilshan
Kevin Pietersen
Aaron Finch
Eoin Morgan
Yuzvendra Chahal
Piyush Chawla
Bhuvneshwar Kumar
Jasprit Bumrah
Lasith Malinga
Dwayne Bravo
Amit Mishra
Sunil Narine
Ravichandran Ashwin
Rashid Khan
Mohit Sharma
Harshal Patel
Mohammed Shami
Umesh Yadav
Zaheer Khan
Ishant Sharma
Praveen Kumar
Sandeep Sharma
Arshdeep Singh
Avesh Khan
Khaleel Ahmed
T Natarajan
Mukesh Kumar
Deepak Chahar
Shardul Thakur
Mohammed Siraj
Trent Boult
Mitchell Starc
Pat Cummins
Josh Hazlewood
Nathan Coulter-Nile
Kagiso Rabada
Anrich Nortje
Lungi Ngidi
Dale Steyn
Morne Morkel
Wayne Parnell
Alzarri Joseph
Lockie Ferguson
Gerald Coetzee
Mustafizur Rahman
Matheesha Pathirana
Adam Milne
Tim Southee
Mitchell McClenaghan
Andrew Tye
James Faulkner
Chris Jordan
Jason Behrendorff
Reece Topley
Kuldeep Yadav
Varun Chakravarthy
Ravi Bishnoi
Rahul Chahar
Murugan Ashwin
Mayank Markande
Ajantha Mendis
Mujeeb Ur Rahman
Wanindu Hasaranga
Karn Sharma
Shreyas Gopal
Pragyan Ojha
Harbhajan Singh
Anil Kumble
Imran Tahir
Shane Warne
Brad Hogg
Ravindra Jadeja
Axar Patel
Krunal Pandya
Washington Sundar
Shahbaz Ahmed
Rahul Tewatia
Moeen Ali
Glenn Maxwell
Andre Russell
Hardik Pandya
Kieron Pollard
Dwayne Smith
Ashok Dinda
RP Singh
Munaf Patel
Vinay Kumar
Lakshmipathy Balaji
Sreesanth
Joginder Sharma
Dirk Nannes
Doug Bollinger
Sohail Tanvir
Prasidh Krishna
Navdeep Saini
Jaydev Unadkat
Tushar Deshpande
Akash Madhwal
Vaibhav Arora
Yash Dayal
Mohsin Khan
Umran Malik
Ravindra Jadeja
Hardik Pandya
Andre Russell
Shane Watson
Kieron Pollard
Yusuf Pathan
Irfan Pathan
Axar Patel
Krunal Pandya
Washington Sundar
Moeen Ali
Ben Stokes
Marcus Stoinis
Glenn Maxwell
Sunil Narine
Dwayne Bravo
Shakib Al Hasan
Abdul Samad
Abhishek Sharma
Shivam Dube
Rahul Tewatia
Deepak Hooda
Venkatesh Iyer
Riyan Parag
Nitish Rana
Liam Livingstone
Sam Curran
Tom Curran
Chris Morris
James Faulkner
Daniel Sams
Mitchell Marsh
Cameron Green
Romario Shepherd
Jason Holder
Carlos Brathwaite
Andrew Symonds
Jacques Kallis
Albie Morkel
Thisara Perera
Darren Sammy
Dwayne Smith
Angelo Mathews
Corey Anderson
Paul Collingwood
Shahid Afridi
Kevin Pietersen
Yuvraj Singh
Saurabh Tiwary
Rajat Bhatia
Stuart Binny
Manoj Tiwary
Vijay Shankar
Kedar Jadhav
Rishi Dhawan
Harpreet Brar
Shahbaz Ahmed
Mahipal Lomror
Krunal Pandya
Wanindu Hasaranga
Rashid Khan
Mujeeb Ur Rahman
Harbhajan Singh
Ravichandran Ashwin
Pawan Negi
Amit Mishra
Shreyas Gopal
Karn Sharma
Pravin Dubey
Akeal Hosein
Mitchell Santner
Moeen Ali
Will Jacks
Azmatullah Omarzai
Marco Jansen
Wiaan Mulder
Corbin Bosch
Roston Chase
Fabian Allen
Sherfane Rutherford
Odean Smith
Tim David
Jimmy Neesham
Michael Bracewell
Sikandar Raza
Daniel Christian
Nathan Coulter-Nile
Pat Cummins
Chris Woakes
Mitchell Starc
Shardul Thakur
Harshal Patel
Deepak Chahar
Arshad Khan
Ramandeep Singh
Anukul Roy
Swapnil Singh
K Gowtham
Vaibhav Suryavanshi
Ayush Mhatre
Priyansh Arya
Angkrish Raghuvanshi
Sameer Rizvi
Nehal Wadhera
Abishek Porel
Naman Dhir
Ashutosh Sharma
Shashank Singh
Sai Sudharsan
Tilak Varma
Dewald Brevis
Robin Minz
Shaik Rasheed
Musheer Khan
Arshin Kulkarni
Swastik Chikara
Anmolpreet Singh
Nikin Jose
Mayank Yadav
Harshit Rana
Akash Madhwal
Yash Dayal
Vijaykumar Vyshak
Tushar Deshpande
Mukesh Kumar
Yash Thakur
Prince Yadav
Rasikh Salam
Kwena Maphaka
Arshad Khan
Vaibhav Arora
Chetan Sakariya
Mohsin Khan
Akash Singh
Suyash Sharma
M Siddharth
Manav Suthar
Vidhwath Kaverappa
Nitish Kumar Reddy
Ramandeep Singh
Abdul Samad
Shahbaz Ahmed
Shivam Dube
Raj Bawa
Anshul Kamboj
Nishant Sindhu
Arjun Tendulkar
Washington Sundar
Mahipal Lomror
Krunal Pandya
Abhinav Manohar
Riyan Parag
Shams Mulani
Darshan Nalkande
Arshad Khan
Atharva Taide
Vivrant Sharma
Sameer Rizvi
Tristan Stubbs
Jake Fraser-McGurk
Gerald Coetzee
